QuestionId,QuestionTitle,QuestionBody,Tags,AnswerId,AnswerBody
"927358","How do I undo the most recent local commits in Git?","<p>I accidentally committed the wrong files to <a href=""https://en.wikipedia.org/wiki/Git"" rel=""noreferrer"">Git</a> but haven't pushed the commit to the server yet.</p>
<p>How do I undo those commits from the <em>local</em> repository?</p>
","<git><version-control><git-commit><undo>","927386","<h2>Undo a commit &amp; redo</h2>
<pre class=""lang-bash prettyprint-override""><code>$ git commit -m &quot;Something terribly misguided&quot; # (0: Your Accident)
$ git reset HEAD~                              # (1)
# === If you just want to undo the commit, stop here! ===
[ edit files as necessary ]                    # (2)
$ git add .                                    # (3)
$ git commit -c ORIG_HEAD                      # (4)
</code></pre>
<ol>
<li><a href=""https://git-scm.com/docs/git-reset"" rel=""noreferrer""><code>git reset</code></a> is the command responsible for the <strong>undo</strong>. It will undo your last commit while <strong>leaving your working tree (the state of your files on disk) untouched.</strong> You'll need to add them again before you can commit them again.</li>
<li>Make corrections to <a href=""https://git-scm.com/book/en/v2/Git-Tools-Reset-Demystified#_the_working_directory"" rel=""noreferrer"">working tree</a> files.</li>
<li><a href=""https://git-scm.com/docs/git-add"" rel=""noreferrer""><code>git add</code></a> anything that you want to include in your new commit.</li>
<li>Commit the changes, reusing the old commit message. <code>reset</code> copied the old head to <code>.git/ORIG_HEAD</code>; <a href=""https://git-scm.com/docs/git-commit#Documentation/git-commit.txt--cltcommitgt"" rel=""noreferrer""><code>commit</code> with <code>-c ORIG_HEAD</code></a> will open an editor, which initially contains the log message from the old commit and allows you to edit it. If you do not need to edit the message, you could use the <a href=""https://git-scm.com/docs/git-commit#Documentation/git-commit.txt--Cltcommitgt"" rel=""noreferrer""><code>-C</code></a> option.</li>
</ol>
<p><strong>Alternatively, to edit the previous commit (or just its commit message)</strong>, <a href=""https://stackoverflow.com/q/179123/1146608""><code>commit --amend</code></a> will add changes within the current index to the previous commit.</p>
<p><strong>To remove (not revert) a commit that has been pushed to the server</strong>, rewriting history with <code>git push origin main --force[-with-lease]</code> is necessary. <a href=""https://stackoverflow.com/q/52823692/4096791"">It's <em>almost always</em> a bad idea to use <code>--force</code>; prefer <code>--force-with-lease</code></a> instead, and as noted in <a href=""https://git-scm.com/docs/git-commit#Documentation/git-commit.txt---amend"" rel=""noreferrer"" title=""Git - git-commit Documentation"">the git manual</a>:</p>
<blockquote>
<p>You should understand the implications of rewriting history if you amend a commit that has already been published.</p>
</blockquote>
<hr />
<h3>Further Reading</h3>
<p><a href=""https://stackoverflow.com/questions/34519665/how-to-move-head-back-to-a-previous-location-detached-head/34519716#34519716"">You can use <code>git reflog</code> to determine the SHA-1</a> for the commit to which you wish to revert. Once you have this value, use the sequence of commands as explained above.</p>
<hr />
<p><code>HEAD~</code> is the same as <code>HEAD~1</code>. The article <a href=""https://stackoverflow.com/a/46350644/5175709"">What is the HEAD in git?</a> is helpful if you want to uncommit multiple commits.</p>
"
"2003505","How do I delete a Git branch locally and remotely?","<p>Failed Attempts to Delete a Remote Branch:</p>
<pre class=""lang-bash prettyprint-override""><code>$ git branch -d remotes/origin/bugfix
error: branch 'remotes/origin/bugfix' not found.

$ git branch -d origin/bugfix
error: branch 'origin/bugfix' not found.

$ git branch -rd origin/bugfix
Deleted remote branch origin/bugfix (was 2a14ef7).

$ git push
Everything up-to-date

$ git pull
From github.com:gituser/gitproject

* [new branch] bugfix -&gt; origin/bugfix
Already up-to-date.
</code></pre>
<p>How do I properly delete the <code>remotes/origin/bugfix</code> branch both locally and remotely?</p>
","<git><version-control><git-branch><git-push><git-remote>","2003515","<h1>Executive Summary</h1>
<pre><code>git push -d &lt;remote_name&gt; &lt;branchname&gt;   # Delete remote
git branch -d &lt;branchname&gt;               # Delete local
</code></pre>
<p><strong>Note:</strong> In most cases, <code>&lt;remote_name&gt;</code> will be <code>origin</code>.</p>
<h1>Delete Local Branch</h1>
<p>To delete the <em><strong>local</strong></em> branch, use one of the following:</p>
<pre><code>git branch -d &lt;branch_name&gt;
git branch -D &lt;branch_name&gt;
</code></pre>
<ul>
<li>The <code>-d</code> option is an alias for <code>--delete</code>, which only deletes the branch if it has already been fully merged in its upstream branch.</li>
<li>The <code>-D</code> option is an alias for <code>--delete --force</code>, which deletes the branch &quot;irrespective of its merged status.&quot; [Source: <code>man git-branch</code>]</li>
<li>As of <a href=""https://github.com/git/git/blob/master/Documentation/RelNotes/2.3.0.txt"" rel=""noreferrer"">Git v2.3</a>, <code>git branch -d</code> (delete) learned to honor the <code>-f</code> (force) flag.</li>
<li>You will receive an error if you try to delete the currently selected branch.</li>
</ul>
<h1>Delete Remote Branch</h1>
<p>As of <a href=""https://github.com/gitster/git/blob/master/Documentation/RelNotes/1.7.0.txt"" rel=""noreferrer"">Git v1.7.0</a>, you can delete a <em><strong>remote</strong></em> branch using</p>
<pre><code>$ git push &lt;remote_name&gt; --delete &lt;branch_name&gt;
</code></pre>
<p>which might be easier to remember than</p>
<pre><code>$ git push &lt;remote_name&gt; :&lt;branch_name&gt;
</code></pre>
<p>which was added in <a href=""https://github.com/gitster/git/blob/master/Documentation/RelNotes/1.5.0.txt"" rel=""noreferrer"">Git v1.5.0</a> &quot;to delete a remote branch or a tag.&quot;</p>
<p>Starting with <a href=""https://github.com/git/git/blob/master/Documentation/RelNotes/2.8.0.txt"" rel=""noreferrer"">Git v2.8.0</a>, you can also use <code>git push</code> with the <code>-d</code> option as an alias for <code>--delete</code>. Therefore, the version of Git you have installed will dictate whether you need to use the easier or harder syntax.</p>
<h2>Delete Remote Branch [Original Answer from 5-Jan-2010]</h2>
<p>From Chapter 3 of <a href=""http://git-scm.com/book/en/Git-Branching-Remote-Branches"" rel=""noreferrer""><em>Pro Git</em></a> by Scott Chacon:</p>
<blockquote>
<h3>Deleting Remote Branches</h3>
<p>Suppose you’re done with a remote branch — say, you and your collaborators are finished with a feature and have merged it into your remote’s main branch (or whatever branch your stable code-line is in). You can delete a remote branch using the rather obtuse syntax <code>git push [remotename] :[branch]</code>. If you want to delete your <code>serverfix</code> branch from the server, you run the following:</p>
<pre><code>$ git push origin :serverfix
To git@github.com:schacon/simplegit.git
 - [deleted]         serverfix
</code></pre>
<p>Boom. No more branches on your server. You may want to dog-ear this page, because you’ll need that command, and you’ll likely forget the syntax. A way to remember this command is by recalling the <code>git push [remotename] [localbranch]:[remotebranch]</code> syntax that we went over a bit earlier. If you leave off the <code>[localbranch]</code> portion, then you’re basically saying, “Take nothing on my side and make it be <code>[remotebranch]</code>.”</p>
</blockquote>
<p>I ran <code>git push origin :bugfix</code>, and it worked beautifully. Scott Chacon was right—I will want to <a href=""http://en.wiktionary.org/wiki/dogear#Verb"" rel=""noreferrer"">dog-ear</a> that page (or virtually dog ear-by answering this on Stack Overflow).</p>
<h1>Fetch changes</h1>
<p>Finally, execute the following on other machines to propagate changes:</p>
<pre><code># Fetch changes from all remotes and locally delete 
# remote deleted branches/tags etc
# --prune will do the job :-;
git fetch --all --prune
</code></pre>
"
"292357","What is the difference between 'git pull' and 'git fetch'?","<p>What are the differences between <a href=""https://git-scm.com/docs/git-pull"" rel=""noreferrer""><code>git pull</code></a> and <a href=""https://git-scm.com/docs/git-fetch"" rel=""noreferrer""><code>git fetch</code></a>?</p>
","<git><version-control><git-pull><git-fetch>","292359","<p>In the simplest terms, <a href=""https://git-scm.com/docs/git-pull"" rel=""noreferrer""><code>git pull</code></a> does a <a href=""https://git-scm.com/docs/git-fetch"" rel=""noreferrer""><code>git fetch</code></a> followed by a <a href=""https://git-scm.com/docs/git-merge"" rel=""noreferrer""><code>git merge</code></a>.</p>
<hr />
<p><code>git fetch</code> updates your remote-tracking branches under <code>refs/remotes/&lt;remote&gt;/</code>. This operation is safe to run at any time since it never changes any of your local branches under <code>refs/heads</code>.</p>
<p><code>git pull</code> brings a local branch up-to-date with its remote version, while also updating your other remote-tracking branches.</p>
<p>From the Git documentation for <a href=""https://git-scm.com/docs/git-pull"" rel=""noreferrer""><code>git pull</code></a>:</p>
<blockquote>
<p><code>git pull</code> runs <code>git fetch</code> with the given parameters and then depending on configuration options or command line flags, will call either <code>git rebase</code> or <code>git merge</code> to reconcile diverging branches.</p>
</blockquote>
"
"6591213","How can I rename a local Git branch?","<p>How can I rename a local branch which has not yet been pushed to a remote repository?</p>
<p>Related:</p>
<ul>
<li><a href=""https://stackoverflow.com/questions/1526794/rename-master-branch-for-both-local-and-remote-git-repositories?answertab=votes#tab-top"">Rename master branch for both local and remote Git repositories</a></li>
<li><a href=""https://stackoverflow.com/questions/30590083/how-to-rename-a-remote-git-branch-name/30590238#30590238"">How do I rename both a Git local and remote branch name?</a></li>
</ul>
","<git><version-control><git-branch>","6591218","<p>To rename the current branch:</p>
<pre><code>git branch -m &lt;newname&gt;
</code></pre>
<p>To rename a branch while pointed to any branch:</p>
<pre><code>git branch -m &lt;oldname&gt; &lt;newname&gt;
</code></pre>
<p><code>-m</code> is short for <code>--move</code>.</p>
<hr />
<p>To push the  local branch and reset the upstream branch:</p>
<pre><code>git push origin -u &lt;newname&gt;
</code></pre>
<p>To delete the  remote branch:</p>
<pre><code>git push origin --delete &lt;oldname&gt;
</code></pre>
<hr />
<p>To create a <code>git rename</code> alias:</p>
<pre><code>git config --global alias.rename 'branch -m'
</code></pre>
<hr />
<p>On Windows or another case-insensitive filesystem, use <code>-M</code> if there are only capitalization changes in the name. Otherwise, Git will throw a <em>&quot;branch already exists&quot;</em> error.</p>
<pre><code>git branch -M &lt;newname&gt;
</code></pre>
"
"348170","How do I undo 'git add' before commit?","<p>I mistakenly added files to Git using the command:</p>
<pre><code>git add myfile.txt
</code></pre>
<p>I have not yet run <code>git commit</code>. How do I undo this so that these changes will not be included in the commit?</p>
","<git><git-commit><undo><git-add>","348234","<h3>To unstage a specific file</h3>
<pre><code>git reset &lt;file&gt;
</code></pre>
<p>That will remove the file from the current index (the &quot;about to be committed&quot; list) without changing anything else.</p>
<h3>To unstage all files from the current change set:</h3>
<pre><code>git reset
</code></pre>
<hr />
<p>In old versions of Git, the above commands are equivalent to <code>git reset HEAD &lt;file&gt;</code> and <code>git reset HEAD</code> respectively, and will fail if <code>HEAD</code> is undefined (because you haven't yet made any commits in your repository) or ambiguous (because you created a branch called <code>HEAD</code>, which is a stupid thing that you shouldn't do). This <a href=""https://git.kernel.org/cgit/git/git.git/tree/Documentation/RelNotes/1.8.2.txt#n179"" rel=""noreferrer"">was changed in Git 1.8.2</a>, though, so in modern versions of Git you can use the commands above even prior to making your first commit:</p>
<blockquote>
<p>&quot;git reset&quot; (without options or parameters) used to error out when
you do not have any commits in your history, but it now gives you
an empty index (to match non-existent commit you are not even on).</p>
</blockquote>
<p>Documentation: <a href=""https://git-scm.com/docs/git-reset"" rel=""noreferrer""><strong>git reset</strong></a></p>
"
"1125968","How do I force ""git pull"" to overwrite local files?","<p>How do I force an overwrite of local files on a <code>git pull</code>? My local repository contains a file of the same filename as on the server.</p>
<blockquote>
<p>error: Untracked working tree file 'example.txt' would be overwritten by merge</p>
</blockquote>
","<git><version-control><overwrite><git-pull><git-fetch>","8888015","<blockquote>
<h2>⚠ Warning:</h2>
<p>Any uncommitted local change to tracked files will be lost, <strong>even if staged</strong>.</p>
<p>But any local file that's <em>not</em> tracked by Git will <em>not</em> be affected.</p>
</blockquote>
<hr />
<p>First, update all <code>origin/&lt;branch&gt;</code> refs to latest:</p>
<pre class=""lang-bash prettyprint-override""><code>git fetch --all
</code></pre>
<p>Backup your current branch (e.g. <code>main</code>):</p>
<pre><code>git branch backup-main
</code></pre>
<p>Jump to the latest commit on <code>origin/main</code> and checkout those files:</p>
<pre><code>git reset --hard origin/main
</code></pre>
<h3>Explanation:</h3>
<p><code>git fetch</code> downloads the latest from remote without trying to merge or rebase anything.</p>
<p><code>git reset</code> resets the master branch to what you just fetched. The <code>--hard</code> option changes all the files in your working tree to match the files in <code>origin/main</code>.</p>
<hr />
<h3>Maintain current local commits</h3>
<p><sup>[*]</sup>: It's worth noting that it is possible to maintain current local commits by creating a branch from <code>main</code> before resetting:</p>
<pre class=""lang-bash prettyprint-override""><code>git checkout main
git branch new-branch-to-save-current-commits
git fetch --all
git reset --hard origin/main
</code></pre>
<p>After this, all of the old commits will be kept in <code>new-branch-to-save-current-commits</code>.</p>
<h3>Uncommitted changes</h3>
<p>Uncommitted changes, even if staged (with <code>git add</code>), will be lost. Make sure to <code>stash</code> or commit anything you need. For example, run the following:</p>
<pre><code>git stash
</code></pre>
<p>And later (after <code>git reset</code>), reapply these uncommitted changes:</p>
<pre><code>git stash pop
</code></pre>
<blockquote>
<p>Which may create merge conflicts.</p>
</blockquote>
"
"1783405","How to check out a remote Git branch?","<p>How do I check out the remote <code>test</code> branch? I can see it with <code>git branch -r</code>. I tried:</p>
<ul>
<li><code>git checkout test</code>, which does nothing</li>
<li><code>git checkout origin/test</code> gives <code>* (no branch)</code></li>
</ul>
","<git><git-checkout><remote-branch>","1783426","<p>The answer has been split depending on whether there is one remote repository configured or multiple. The reason for this is that for the single remote case, some of the commands can be simplified as there is less ambiguity.</p>
<p><strong>Updated for Git 2.23:</strong> For older versions, see the section at the end.</p>
<h2>With One Remote</h2>
<p>In both cases, start by fetching from the remote repository to make sure you have all the latest changes downloaded.</p>
<pre><code>$ git fetch
</code></pre>
<p>This will fetch all of the remote branches for you. You can see the branches available for checkout with:</p>
<pre><code>$ git branch -v -a

...
remotes/origin/test
</code></pre>
<p>The branches that start with <code>remotes/*</code> can be thought of as read only copies of the remote branches. To work on a branch you need to create a local branch from it. This is done with the Git command <code>switch</code> (since Git 2.23) by giving it the name of the remote branch (minus the remote name):</p>
<pre><code>$ git switch test
</code></pre>
<p>In this case Git is guessing (can be disabled with <code>--no-guess</code>) that you are trying to checkout and track the remote branch with the same name.</p>
<h2>With Multiple Remotes</h2>
<p>In the case where multiple remote repositories exist, the remote repository needs to be explicitly named.</p>
<p>As before, start by fetching the latest remote changes:</p>
<pre><code>$ git fetch origin
</code></pre>
<p>This will fetch all of the remote branches for you. You can see the branches available for checkout with:</p>
<pre><code>$ git branch -v -a
</code></pre>
<p>With the remote branches in hand, you now need to check out the branch you are interested in with <code>-c</code> to create a new local branch:</p>
<pre><code>$ git switch -c test origin/test
</code></pre>
<p>For more information about using <code>git switch</code>:</p>
<pre><code>$ man git-switch
</code></pre>
<h2>Prior to Git 2.23</h2>
<p><code>git switch</code> was added in Git 2.23, prior to this <code>git checkout</code> was used to switch branches.</p>
<p>To checkout out with only a single remote repository:</p>
<pre><code>git checkout test
</code></pre>
<p>if there are multiple remote repositories configured then it becomes a bit longer</p>
<pre><code>git checkout -b test &lt;name of remote&gt;/test
</code></pre>
"
"1274057","How do I make Git forget about a file that was tracked, but is now in .gitignore?","<p>I put a file that was previously being tracked by Git onto the <code>.gitignore</code> list. However, the file still shows up in <code>git status</code> after it is edited. How do I force Git to completely forget the file?</p>
","<git><gitignore><git-rm>","1274447","<p><code>.gitignore</code> will prevent untracked files from being added (without an <code>add -f</code>) to the set of files tracked by Git. However, Git will continue to track any files that are already being tracked.</p>
<p><em><strong>Updated Answer in 2024</strong></em></p>
<p>Do NOT use <code>git rm --cached &lt;file&gt;</code> if you ever want to see that file again. It will remove it from git, and also your local machine.</p>
<p>If you want to keep the file locally, but remove it from git tracking, use the answer by Konstantin. In short, use the following instead of <code>git rm</code>:</p>
<p><code>git update-index --skip-worktree &lt;file&gt;</code></p>
<p>However, according to the official <a href=""https://git-scm.com/docs/git-update-index"" rel=""noreferrer"">git documentation</a>:</p>
<blockquote>
<p>Users often try to use the assume-unchanged and skip-worktree bits to tell Git to ignore changes to files that are tracked. This does not work as expected, since Git may still check working tree files against the index when performing certain operations. In general, Git does not provide a way to ignore changes to tracked files, so alternate solutions are recommended.</p>
</blockquote>
<p>Therefore, you should still consider using the original answer below.</p>
<p><em><strong>Original Answer</strong></em></p>
<p><strong>WARNING: This will remove the physical file from your local machine and other developers' machines on your or their next <code>git pull</code>.</strong></p>
<p>To stop tracking a file, we must remove it from the index:</p>
<pre><code>git rm --cached &lt;file&gt;
</code></pre>
<p>To remove a folder and all files in the folder recursively:</p>
<pre><code>git rm -r --cached &lt;folder&gt;
</code></pre>
<p>The removal of the file from the head revision will happen on the next commit.</p>
"
"61212","How do I remove local (untracked) files from the current Git working tree?","<p>How do I delete untracked local files from the current working tree?</p>
","<git><branch><git-branch>","64966","<blockquote>
<h2><a href=""https://git-scm.com/docs/git-clean"" rel=""noreferrer"">git-clean</a> - Remove untracked files from the working tree</h2>
<h3>Synopsis</h3>
<pre><code>git clean [-d] [-f] [-i] [-n] [-q] [-e &lt;pattern&gt;] [-x | -X] [--] &lt;path&gt;…​
</code></pre>
<h3>Description</h3>
<p>Cleans the working tree by recursively removing files that are not under version control, <strong>starting from the current directory</strong>.</p>
<p>Normally, only files unknown to Git are removed, but if the <code>-x</code> option is specified, ignored files are also removed. This can, for example, be useful to remove all build products.</p>
<p>If any optional <code>&lt;path&gt;...</code> arguments are given, only those paths are affected.</p>
</blockquote>
<hr />
<p>Step 1 is to show what will be deleted by using the <code>-n</code> option:</p>

<pre class=""lang-bash prettyprint-override""><code># Print out the list of files and directories which will be removed (dry run)
git clean -n -d
</code></pre>
<p>Clean Step - <strong>beware: this will delete files</strong>:</p>
<pre class=""lang-bash prettyprint-override""><code># Delete the files from the repository
git clean -f
</code></pre>
<ul>
<li>To remove directories, run <code>git clean -f -d</code> or <code>git clean -fd</code></li>
<li>To remove ignored files, run <code>git clean -f -X</code> or <code>git clean -fX</code></li>
<li>To remove ignored and non-ignored files, run <code>git clean -f -x</code> or <code>git clean -fx</code></li>
</ul>
<p><strong>Note</strong> the case difference on the <code>X</code> for the two latter commands.</p>
<p>If <code>clean.requireForce</code> is set to &quot;true&quot; (the default) in your configuration, one needs to specify <code>-f</code> otherwise nothing will actually happen.</p>
<p>Again see the <a href=""http://git-scm.com/docs/git-clean"" rel=""noreferrer""><code>git-clean</code></a> docs for more information.</p>
<hr />
<blockquote>
<h3>Options</h3>
<p><strong><code>-f</code>, <code>--force</code></strong></p>
<p>If the Git configuration variable clean.requireForce is not set to
false, git clean will refuse to run unless given <code>-f</code>, <code>-n</code> or <code>-i</code>.</p>
<p><strong><code>-x</code></strong></p>
<p>Don’t use the standard ignore rules read from .gitignore (per
directory) and <code>$GIT_DIR/info/exclude</code>, but do still use the ignore
rules given with <code>-e</code> options. This allows removing all untracked files,
including build products. This can be used (possibly in conjunction
with git reset) to create a pristine working directory to test a clean
build.</p>
<p><strong><code>-X</code></strong></p>
<p>Remove only files ignored by Git. This may be useful to rebuild
everything from scratch, but keep manually created files.</p>
<p><strong><code>-n</code>, <code>--dry-run</code></strong></p>
<p>Don’t actually remove anything, just show what would be done.</p>
<p><strong><code>-d</code></strong></p>
<p>Remove untracked directories in addition to untracked files. If an
untracked directory is managed by a different Git repository, it is
not removed by default. Use <code>-f</code> option twice if you really want to
remove such a directory.</p>
</blockquote>
"
"16956810","Find all files containing a specific text (string) on Linux?","<p>How do I find all files containing a specific string of text within their file contents?</p>
<p>The following doesn't work. It seems to display every single file in the system.</p>
<pre class=""lang-none prettyprint-override""><code>find / -type f -exec grep -H 'text-to-find-here' {} \;
</code></pre>
","<linux><text><grep><directory><find>","16957078","<p>Do the following:</p>
<pre class=""lang-none prettyprint-override""><code>grep -rnw '/path/to/somewhere/' -e 'pattern'
</code></pre>
<ul>
<li><code>-r</code> or <code>-R</code> is recursive,</li>
<li><code>-n</code> is line number, and</li>
<li><code>-w</code> stands for match the whole word.</li>
<li><code>-l</code> (lower-case L) can be added to just give the file name of matching files.</li>
<li><code>-e</code> is the pattern used during the search</li>
</ul>
<p>Along with these, <code>--exclude</code>, <code>--include</code>, <code>--exclude-dir</code> flags could be used for efficient searching:</p>
<ul>
<li><p>This will only search through those files which have .c or .h extensions:</p>
<pre class=""lang-none prettyprint-override""><code>grep --include=\*.{c,h} -rnw '/path/to/somewhere/' -e &quot;pattern&quot;
</code></pre>
</li>
<li><p>This will exclude searching all the files ending with .o extension:</p>
<pre class=""lang-none prettyprint-override""><code>grep --exclude=\*.o -rnw '/path/to/somewhere/' -e &quot;pattern&quot;
</code></pre>
</li>
<li><p>For directories it's possible to exclude one or more directories using the <code>--exclude-dir</code> parameter. For example, this will exclude the dirs <code>dir1/</code>, <code>dir2/</code> and all of them matching <code>*.dst/</code>:</p>
<pre class=""lang-none prettyprint-override""><code>grep --exclude-dir={dir1,dir2,*.dst} -rnw '/path/to/search/' -e &quot;pattern&quot;
</code></pre>
</li>
</ul>
<p>This works very well for me, to achieve almost the same purpose like yours.</p>
<p>For more options, see <a href=""https://ss64.com/bash/grep.html"" rel=""noreferrer""><code>man grep</code></a>.</p>
"
